AMBIL,-10.29629,-10.99109
ROOM,-8.33087,-9.05583
GAVE,-8.94808,-9.91299
MARIA,-10.21049,-11.40789
PARENTS,-9.1455,-9.73583
WAVE,-11.09843,-12.2732
QUESTION,-9.264,-10.6495
CBA,-11.35376,-11.05956
BREATHE,-10.92913,-11.15512
ROOF,-11.47558,-12.04355
FEELIN,-9.78369,-10.21936
TIENES,-9.63509,-10.12298
SEDANG,-10.28536,-11.20461
BBQ,-10.18114,-11.28628
SNACK,-10.79333,-12.19847
SOMEWHAT,-11.43422,-12.64684
TAMO,-11.43503,-12.7173
BBY,-10.06127,-11.06024
TENANG,-9.52666,-10.8522
CASTLE,-11.15909,-12.39848
FOLLOWS,-9.84401,-11.79281
PANCAKES,-9.80121,-11.35698
JADWAL,-11.01046,-11.40943
